,datestamp,estimated_actual_footfall,year,month,weekday,week_of_year,Sin_weekday,Cos_weekday,Sin_monthday,Cos_monthday,Sin_week_of_year,Cos_week_of_year,Sin_month,Cos_month,is_weekend,bank_hol,school_hol,covid,temperature_2m_mean,precipitation_sum,wind_speed_10m_max,daylight_duration,area_name,area_Bradford - BID,area_Bradford - City Centre,area_Bradford - Lister Park,area_Bradford - Local Authority,area_Bradford - Roberts Park
15662,2022-12-22,9095.11,2022,12,3,51,1.2246467991473532e-16,-1.0,-0.968077118866204,-0.2506525322587213,-0.2348860457809837,0.9720229140804107,-2.4492935982947064e-16,1.0,0,0,1,0,4.514583,1.7000002,14.264361,26672.465,Bradford - Lister Park,0,0,1,0,0
15663,2022-12-22,748836.0,2022,12,3,51,1.2246467991473532e-16,-1.0,-0.968077118866204,-0.2506525322587213,-0.2348860457809837,0.9720229140804107,-2.4492935982947064e-16,1.0,0,0,1,0,5.0661664,1.3000001,18.0,26672.465,Bradford - Local Authority,0,0,0,1,0
15664,2022-12-22,14524.47,2022,12,3,51,1.2246467991473532e-16,-1.0,-0.968077118866204,-0.2506525322587213,-0.2348860457809837,0.9720229140804107,-2.4492935982947064e-16,1.0,0,0,1,0,4.514583,1.7000002,14.264361,26672.465,Bradford - Roberts Park,0,0,0,0,1
15671,2022-12-23,88876.02500000001,2022,12,4,51,-0.8660254037844385,-0.5000000000000004,-0.9987165071710528,-0.0506491688387135,-0.2348860457809837,0.9720229140804107,-2.4492935982947064e-16,1.0,0,0,1,0,3.3645833,9.5,17.418196,26679.082,Bradford - BID,1,0,0,0,0
15672,2022-12-23,43477.28,2022,12,4,51,-0.8660254037844385,-0.5000000000000004,-0.9987165071710528,-0.0506491688387135,-0.2348860457809837,0.9720229140804107,-2.4492935982947064e-16,1.0,0,0,1,0,3.3645833,9.5,17.418196,26679.082,Bradford - City Centre,0,1,0,0,0
15673,2022-12-23,24690.84,2022,12,4,51,-0.8660254037844385,-0.5000000000000004,-0.9987165071710528,-0.0506491688387135,-0.2348860457809837,0.9720229140804107,-2.4492935982947064e-16,1.0,0,0,1,0,3.3645833,9.5,17.418196,26679.082,Bradford - Lister Park,0,0,1,0,0
15674,2022-12-23,731567.0,2022,12,4,51,-0.8660254037844385,-0.5000000000000004,-0.9987165071710528,-0.0506491688387135,-0.2348860457809837,0.9720229140804107,-2.4492935982947064e-16,1.0,0,0,1,0,3.9203331,11.8,21.288757,26679.082,Bradford - Local Authority,0,0,0,1,0
15675,2022-12-23,3068.6,2022,12,4,51,-0.8660254037844385,-0.5000000000000004,-0.9987165071710528,-0.0506491688387135,-0.2348860457809837,0.9720229140804107,-2.4492935982947064e-16,1.0,0,0,1,0,3.3645833,9.5,17.418196,26679.082,Bradford - Roberts Park,0,0,0,0,1
15681,2022-12-24,82197.235,2022,12,5,51,-0.8660254037844386,0.5000000000000001,-0.9884683243281114,0.1514277775045766,-0.2348860457809837,0.9720229140804107,-2.4492935982947064e-16,1.0,1,0,1,0,6.5916667,0.6,28.28464,26692.902,Bradford - BID,1,0,0,0,0
15682,2022-12-24,106823.93,2022,12,5,51,-0.8660254037844386,0.5000000000000001,-0.9884683243281114,0.1514277775045766,-0.2348860457809837,0.9720229140804107,-2.4492935982947064e-16,1.0,1,0,1,0,6.5916667,0.6,28.28464,26692.902,Bradford - City Centre,0,1,0,0,0
