area,Interval,Date,Total Footfall,Average Footfall,Total Visiting,Average Visiting,Total Passing through,Average Passing through,,Event took place
BD WALL - Wayfinders,daily,08/06/2019,15114.28,15114.28,1873.460808553918,1873.460808553918,13240.819191446084,13240.819191446084,,
BD WALL - Wayfinders,daily,09/06/2019,11690.85,11690.85,1449.1162856373292,1449.1162856373292,10241.733714362672,10241.733714362672,,
BD WALL - Wayfinders,daily,10/06/2019,19549.47,19549.47,4840.828607697191,4840.828607697191,14708.64139230281,14708.64139230281,,
BD WALL - Wayfinders,weekly,10/06/2019,175389.42,25055.63,37576.71384731369,5368.101672120064,137812.70615268633,19687.52832787994,,
BD WALL - Wayfinders,daily,11/06/2019,11228.92,11228.92,2780.498763881739,2780.498763881739,8448.421236118262,8448.421236118262,,
BD WALL - Wayfinders,daily,12/06/2019,33817.71,33817.71,8373.922056,8373.922056,25443.787944066647,25443.787944066647,,
BD WALL - Wayfinders,daily,13/06/2019,8768.14,8768.14,2171.1618242486393,2171.1618242486393,6596.978176,6596.978176,,
BD WALL - Wayfinders,daily,14/06/2019,22456.15,22456.15,5560.579050927687,5560.579050927687,16895.570949072317,16895.570949072317,,
BD WALL - Wayfinders,daily,15/06/2019,23859.02,23859.02,2957.3978317527594,2957.3978317527594,20901.622168247242,20901.622168247242,,
BD WALL - Wayfinders,daily,16/06/2019,24941.79,24941.79,3091.610454496147,3091.610454496147,21850.179545503855,21850.179545503855,,
BD WALL - Wayfinders,daily,17/06/2019,18712.28,18712.28,4633.524097545354,4633.524097545354,14078.755902454644,14078.755902454644,,
BD WALL - Wayfinders,weekly,17/06/2019,171035.08,24433.58,36643.80815565958,5234.8291243875865,134391.27184434043,19198.750875612415,,
BD WALL - Wayfinders,daily,18/06/2019,8699.29,8699.29,2154.113226530136,2154.113226530136,6545.176773469865,6545.176773469865,,
BD WALL - Wayfinders,daily,19/06/2019,12814,12814,3172.9953691343962,3172.9953691343962,9641.004630865604,9641.004630865604,,
BD WALL - Wayfinders,daily,20/06/2019,16929.99,16929.99,4192.194464608369,4192.194464608369,12737.795535391633,12737.795535391633,,
BD WALL - Wayfinders,daily,21/06/2019,36619.35,36619.35,9067.662554293089,9067.662554293089,27551.68744570691,27551.68744570691,,
BD WALL - Wayfinders,daily,22/06/2019,13197.15,13197.15,1635.8267353527483,1635.8267353527483,11561.323264647252,11561.323264647252,,
BD WALL - Wayfinders,daily,23/06/2019,26935.1,26935.1,3338.687269554397,3338.687269554397,23596.41273,23596.41273,,
