area,Interval,Date,Total Footfall,Average Footfall,Total Visiting,Average Visiting,Total Passing through,Average Passing through,
Baildon,daily,27/07/2019,6761.1,6761.1,5911.834683,5911.834683,849.2653169,849.2653169,
Baildon,daily,28/07/2019,13527.08,13527.08,8695.381297,8695.381297,4831.698703,4831.698703,
Baildon,daily,29/07/2019,12024.07,12024.07,7729.227105,7729.227105,4294.842895,4294.842895,
Baildon,daily,29/07/2019,4965.62,4965.62,3191.964509,3191.964509,1773.655491,1773.655491,
Baildon,daily,30/07/2019,8244.53,8244.53,5299.6901,5299.6901,2944.8399,2944.8399,
Baildon,daily,31/07/2019,6262.1,6262.1,4025.358556,4025.358556,2236.741444,2236.741444,
Baildon,daily,01/08/2019,35632.5,35632.5,31156.68299,31156.68299,4475.817013,4475.817013,
Baildon,daily,01/08/2019,9995.56,9995.56,8740.012466,8740.012466,1255.547534,1255.547534,
Baildon,daily,02/08/2019,13253.86,13253.86,8519.751961,8519.751961,4734.108039,4734.108039,
Baildon,daily,03/08/2019,10178.91,10178.91,6543.134485,6543.134485,3635.775515,3635.775515,
Baildon,daily,04/08/2019,3724.22,3724.22,2393.976596,2393.976596,1330.243404,1330.243404,
Baildon,daily,05/08/2019,13527.08,13527.08,8695.381297,8695.381297,4831.698703,4831.698703,
Baildon,daily,05/08/2019,5945.97,5945.97,3822.146119,3822.146119,2123.823881,2123.823881,
Baildon,daily,06/08/2019,13197.15,13197.15,11539.44907,11539.44907,1657.700933,1657.700933,
Baildon,daily,07/08/2019,6904.41,6904.41,6037.143439,6037.143439,867.2665612,867.2665612,
Baildon,daily,08/08/2019,12882.94,12882.94,8281.319806,8281.319806,4601.620194,4601.620194,
Baildon,daily,09/08/2019,6219.35,6219.35,3997.878305,3997.878305,2221.471695,2221.471695,
Baildon,daily,10/08/2019,6519.08,6519.08,4190.548611,4190.548611,2328.531389,2328.531389,
Baildon,daily,11/08/2019,5945.97,5945.97,3822.146119,3822.146119,2123.823881,2123.823881,
Baildon,daily,12/08/2019,6519.08,6519.08,4190.548611,4190.548611,2328.531389,2328.531389,
Baildon,daily,12/08/2019,32164.17,32164.17,28124.01174,28124.01174,4040.158263,4040.158263,
Baildon,daily,13/08/2019,8198.23,8198.23,7168.44603,7168.44603,1029.78397,1029.78397,
Baildon,daily,14/08/2019,19617.51,19617.51,12610.38817,12610.38817,7007.121835,7007.121835,
Baildon,daily,15/08/2019,18557.87,18557.87,11929.23792,11929.23792,6628.632079,6628.632079,
Baildon,daily,16/08/2019,6148.67,6148.67,3952.444291,3952.444291,2196.225709,2196.225709,
Baildon,daily,17/08/2019,16071.78,16071.78,10331.14724,10331.14724,5740.632759,5740.632759,
Baildon,daily,18/08/2019,22452.83,22452.83,14432.96839,14432.96839,8019.861611,8019.861611,
Baildon,daily,19/08/2019,59173.52,59173.52,51740.70312,51740.70312,7432.816882,7432.816882,
Baildon,daily,19/08/2019,14824.2,14824.2,12962.12446,12962.12446,1862.075537,1862.075537,
Baildon,daily,20/08/2019,11087.93,11087.93,7127.464252,7127.464252,3960.465748,3960.465748,
Baildon,daily,21/08/2019,7461.22,7461.22,4796.168341,4796.168341,2665.051659,2665.051659,
